"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2025","270.14","268.61","271.70","266.93","43.68M","0.04%"
"11/04/2025","270.04","268.33","271.49","267.61","49.27M","0.37%"
"11/03/2025","269.05","270.42","270.85","266.25","50.19M","-0.49%"
"10/31/2025","270.37","276.99","277.32","269.16","86.17M","-0.38%"
"10/30/2025","271.40","271.99","274.14","268.48","69.89M","0.63%"
"10/29/2025","269.70","269.27","271.41","267.11","51.09M","0.26%"
"10/28/2025","269.00","268.98","269.89","268.15","41.53M","0.07%"
"10/27/2025","268.81","264.88","269.12","264.65","44.89M","2.28%"
"10/24/2025","262.82","261.19","264.13","259.18","38.25M","1.25%"
"10/23/2025","259.58","259.94","260.62","258.01","32.75M","0.44%"
"10/22/2025","258.45","262.65","262.85","255.43","45.02M","-1.64%"
"10/21/2025","262.77","261.88","265.29","261.83","46.70M","0.20%"
"10/20/2025","262.24","255.88","264.38","255.63","90.48M","3.94%"
"10/17/2025","252.29","248.02","253.38","247.27","49.15M","1.96%"
"10/16/2025","247.45","248.25","249.04","245.13","39.78M","-0.76%"
"10/15/2025","249.34","249.49","251.82","247.47","33.89M","0.63%"
"10/14/2025","247.77","246.60","248.85","244.70","35.48M","0.04%"
"10/13/2025","247.66","249.38","249.69","245.56","38.14M","0.97%"
"10/10/2025","245.27","254.94","256.38","244.00","62.00M","-3.45%"
"10/09/2025","254.04","257.80","258.00","253.14","38.32M","-1.56%"
"10/08/2025","258.06","256.52","258.52","256.11","36.50M","0.62%"
"10/07/2025","256.48","256.80","257.40","255.43","31.96M","-0.08%"
"10/06/2025","256.69","257.99","259.07","255.05","44.66M","-0.52%"
"10/03/2025","258.02","254.66","259.24","253.95","49.16M","0.35%"
"10/02/2025","257.13","256.58","258.18","254.15","42.63M","0.66%"
"10/01/2025","255.45","255.04","258.79","254.93","48.71M","0.32%"
"09/30/2025","254.63","254.85","255.92","253.11","37.70M","0.08%"
"09/29/2025","254.43","254.56","255.00","253.01","40.13M","-0.40%"
"09/26/2025","255.46","254.10","257.60","253.78","46.08M","-0.55%"
"09/25/2025","256.87","253.21","257.17","251.71","55.20M","1.81%"
"09/24/2025","252.31","255.22","255.74","251.04","42.30M","-0.83%"
"09/23/2025","254.43","255.88","257.34","253.58","60.28M","-0.64%"
"09/22/2025","256.08","248.30","256.64","248.12","105.52M","4.31%"
"09/19/2025","245.50","241.23","246.30","240.21","163.74M","3.20%"
"09/18/2025","237.88","239.97","241.20","236.65","44.25M","-0.46%"
"09/17/2025","238.99","238.97","240.10","237.73","46.51M","0.35%"
"09/16/2025","238.15","237.18","241.22","236.32","63.42M","0.61%"
"09/15/2025","236.70","237.00","238.19","235.03","42.70M","1.12%"
"09/12/2025","234.07","229.22","234.51","229.02","55.82M","1.76%"
"09/11/2025","230.03","226.88","230.45","226.65","50.21M","1.43%"
"09/10/2025","226.79","232.18","232.42","225.95","83.44M","-3.23%"
"09/09/2025","234.35","237.00","238.78","233.36","66.31M","-1.48%"
"09/08/2025","237.88","239.30","240.15","236.34","49.00M","-0.76%"
"09/05/2025","239.69","239.99","241.32","238.49","54.87M","-0.04%"
"09/04/2025","239.78","238.45","239.90","236.74","47.55M","0.55%"
"09/03/2025","238.47","237.21","238.85","234.36","66.43M","3.81%"
"09/02/2025","229.72","229.25","230.85","226.97","44.08M","-1.04%"
"08/29/2025","232.14","232.51","233.38","231.37","39.42M","-0.18%"
"08/28/2025","232.56","230.82","233.41","229.34","38.07M","0.90%"
"08/27/2025","230.49","228.61","230.90","228.26","31.26M","0.51%"
"08/26/2025","229.31","226.87","229.49","224.69","54.58M","0.95%"
"08/25/2025","227.16","226.48","229.30","226.23","30.98M","-0.26%"
"08/22/2025","227.76","226.17","229.09","225.41","42.48M","1.27%"
"08/21/2025","224.90","226.27","226.52","223.78","30.62M","-0.49%"
"08/20/2025","226.01","229.98","230.47","225.77","42.26M","-1.97%"
"08/19/2025","230.56","231.27","232.87","229.35","39.40M","-0.14%"
"08/18/2025","230.89","231.70","233.12","230.11","37.48M","-0.30%"
"08/15/2025","231.59","234.00","234.28","229.34","56.04M","-0.51%"
"08/14/2025","232.78","234.05","235.12","230.85","51.92M","-0.24%"
"08/13/2025","233.33","231.07","235.00","230.43","69.88M","1.60%"
"08/12/2025","229.65","228.01","230.80","227.07","55.67M","1.09%"
"08/11/2025","227.18","227.92","229.56","224.76","61.81M","-0.95%"
"08/08/2025","229.35","220.83","231.00","219.25","113.85M","4.24%"
"08/07/2025","220.03","218.88","220.85","216.58","90.22M","3.18%"
"08/06/2025","213.25","205.63","215.38","205.59","108.48M","5.09%"
"08/05/2025","202.92","203.40","205.34","202.16","44.16M","-0.21%"
"08/04/2025","203.35","204.51","207.88","201.68","75.11M","0.48%"
"08/01/2025","202.38","210.87","213.58","201.50","104.43M","-2.50%"
"07/31/2025","207.57","208.49","209.84","207.16","80.70M","-0.71%"
"07/30/2025","209.05","211.90","212.39","207.72","45.51M","-1.05%"
"07/29/2025","211.27","214.18","214.81","210.82","51.41M","-1.30%"
"07/28/2025","214.05","214.03","214.85","213.06","37.86M","0.08%"
"07/25/2025","213.88","214.70","215.24","213.40","40.27M","0.06%"
"07/24/2025","213.76","213.90","215.69","213.53","46.02M","-0.18%"
"07/23/2025","214.15","215.00","215.15","212.41","46.99M","-0.12%"
"07/22/2025","214.40","213.14","214.95","212.23","46.40M","0.90%"
"07/21/2025","212.48","212.10","215.78","211.63","51.38M","0.62%"
"07/18/2025","211.18","210.87","211.79","209.70","48.97M","0.55%"
"07/17/2025","210.02","210.57","211.80","209.59","48.07M","-0.07%"
"07/16/2025","210.16","210.29","212.40","208.64","47.49M","0.50%"
"07/15/2025","209.11","209.22","211.89","208.92","42.30M","0.23%"
"07/14/2025","208.62","209.93","210.91","207.54","38.84M","-1.20%"
"07/11/2025","211.16","210.57","212.13","209.86","39.77M","-0.59%"
"07/10/2025","212.41","210.51","213.48","210.03","44.44M","0.60%"
"07/09/2025","211.14","209.53","211.33","207.22","48.75M","0.54%"
"07/08/2025","210.01","210.10","211.43","208.45","42.85M","0.03%"
"07/07/2025","209.95","212.68","216.23","208.80","50.23M","-1.69%"
"07/03/2025","213.55","212.15","214.65","211.81","34.96M","0.52%"
"07/02/2025","212.44","208.91","213.34","208.14","67.94M","2.22%"
"07/01/2025","207.82","206.66","210.19","206.14","78.79M","1.29%"
"06/30/2025","205.17","202.01","207.39","199.26","91.91M","2.03%"
"06/27/2025","201.08","201.89","203.22","200.00","73.19M","0.04%"
"06/26/2025","201.00","201.43","202.64","199.46","50.80M","-0.28%"
"06/25/2025","201.56","201.45","203.67","200.62","39.53M","0.63%"
"06/24/2025","200.30","202.59","203.44","200.20","54.06M","-0.60%"
"06/23/2025","201.50","201.63","202.30","198.96","55.81M","0.25%"
"06/20/2025","201.00","198.24","201.70","196.85","96.81M","2.25%"
"06/18/2025","196.58","195.94","197.57","195.07","45.39M","0.48%"
"06/17/2025","195.64","197.20","198.39","195.21","38.86M","-1.40%"
"06/16/2025","198.42","197.30","198.68","196.56","43.02M","1.00%"
"06/13/2025","196.45","199.73","200.37","195.70","51.45M","-1.38%"
"06/12/2025","199.20","199.08","199.68","197.36","43.90M","0.21%"
"06/11/2025","198.78","203.50","204.50","198.41","60.99M","-1.92%"
"06/10/2025","202.67","200.60","204.35","200.57","54.67M","0.61%"
"06/09/2025","201.45","204.39","206.00","200.02","72.86M","-1.21%"
"06/06/2025","203.92","203.00","205.70","202.05","46.61M","1.64%"
"06/05/2025","200.63","203.50","204.75","200.15","55.22M","-1.08%"
"06/04/2025","202.82","202.91","206.24","202.10","43.60M","-0.22%"
"06/03/2025","203.27","201.35","203.77","200.96","46.38M","0.78%"
"06/02/2025","201.70","200.28","202.13","200.12","35.42M","0.42%"
"05/30/2025","200.85","199.37","201.96","196.78","70.82M","0.45%"
"05/29/2025","199.95","203.57","203.81","198.51","51.48M","-0.23%"
"05/28/2025","200.42","200.59","202.73","199.90","45.34M","0.10%"
"05/27/2025","200.21","198.30","200.74","197.43","56.29M","2.53%"
"05/23/2025","195.27","193.66","197.70","193.46","78.43M","-3.02%"
"05/22/2025","201.36","200.71","202.75","199.70","46.74M","-0.36%"
"05/21/2025","202.09","205.17","207.04","200.71","59.21M","-2.31%"
"05/20/2025","206.86","207.67","208.47","205.03","42.50M","-0.92%"
"05/19/2025","208.78","207.91","209.48","204.26","46.14M","-1.17%"
"05/16/2025","211.26","212.36","212.57","209.77","54.74M","-0.09%"
"05/15/2025","211.45","210.95","212.96","209.54","45.03M","-0.41%"
"05/14/2025","212.33","212.43","213.94","210.58","49.33M","-0.28%"
"05/13/2025","212.93","210.43","213.40","209.00","51.91M","1.02%"
"05/12/2025","210.79","210.97","211.27","206.75","63.78M","6.18%"
"05/09/2025","198.53","199.00","200.54","197.54","36.45M","0.53%"
"05/08/2025","197.49","197.72","200.05","194.68","50.48M","0.63%"
"05/07/2025","196.25","199.17","199.44","193.25","68.62M","-1.14%"
"05/06/2025","198.51","198.21","200.65","197.02","51.22M","-0.19%"
"05/05/2025","198.89","203.10","204.10","198.21","69.02M","-3.15%"
"05/02/2025","205.35","206.09","206.99","202.16","101.01M","-3.74%"
"05/01/2025","213.32","209.08","214.56","208.90","57.37M","0.39%"
"04/30/2025","212.50","209.30","213.58","206.67","52.29M","0.61%"
"04/29/2025","211.21","208.69","212.24","208.37","36.83M","0.51%"
"04/28/2025","210.14","210.00","211.50","207.46","38.74M","0.41%"
"04/25/2025","209.28","206.37","209.75","206.20","38.22M","0.44%"
"04/24/2025","208.37","204.89","208.83","202.94","47.31M","1.84%"
"04/23/2025","204.60","206.00","208.00","202.80","52.93M","2.43%"
"04/22/2025","199.74","196.12","201.59","195.97","52.98M","3.41%"
"04/21/2025","193.16","193.26","193.80","189.81","46.74M","-1.94%"
"04/17/2025","196.98","197.20","198.83","194.42","52.16M","1.39%"
"04/16/2025","194.27","198.36","200.70","192.37","59.73M","-3.89%"
"04/15/2025","202.14","201.85","203.51","199.80","51.34M","-0.19%"
"04/14/2025","202.52","211.44","212.94","201.16","101.35M","2.21%"
"04/11/2025","198.15","186.10","199.54","186.06","87.44M","4.06%"
"04/10/2025","190.42","189.07","194.78","183.00","121.88M","-4.24%"
"04/09/2025","198.85","171.95","200.61","171.89","184.40M","15.33%"
"04/08/2025","172.42","186.70","190.34","169.21","120.86M","-4.98%"
"04/07/2025","181.46","177.20","194.15","174.62","160.47M","-3.67%"
"04/04/2025","188.38","193.89","199.88","187.34","125.91M","-7.29%"
"04/03/2025","203.19","205.54","207.49","201.25","103.42M","-9.25%"
"04/02/2025","223.89","221.32","225.19","221.02","35.91M","0.31%"
"04/01/2025","223.19","219.80","223.68","218.90","36.41M","0.48%"
"03/31/2025","222.13","217.01","225.62","216.23","65.30M","1.94%"
"03/28/2025","217.90","221.67","223.81","217.68","39.82M","-2.66%"
"03/27/2025","223.85","221.39","224.99","220.56","37.09M","1.05%"
"03/26/2025","221.53","223.51","225.02","220.47","34.53M","-0.99%"
"03/25/2025","223.75","220.77","224.10","220.08","34.49M","1.37%"
"03/24/2025","220.73","221.00","221.48","218.58","44.30M","1.13%"
"03/21/2025","218.27","211.56","218.84","211.28","94.13M","1.95%"
"03/20/2025","214.10","213.99","217.49","212.22","48.86M","-0.53%"
"03/19/2025","215.24","214.22","218.76","213.75","54.39M","1.20%"
"03/18/2025","212.69","214.16","215.15","211.49","42.43M","-0.61%"
"03/17/2025","214.00","213.31","215.22","209.97","48.07M","0.24%"
"03/14/2025","213.49","211.25","213.95","209.58","60.11M","1.82%"
"03/13/2025","209.68","215.95","216.84","208.42","61.37M","-3.36%"
"03/12/2025","216.98","220.14","221.75","214.91","62.55M","-1.75%"
"03/11/2025","220.84","223.80","225.84","217.45","76.14M","-2.92%"
"03/10/2025","227.48","235.54","236.16","224.22","72.07M","-4.85%"
"03/07/2025","239.07","235.10","241.37","234.76","46.27M","1.59%"
"03/06/2025","235.33","234.43","237.86","233.16","45.17M","-0.17%"
"03/05/2025","235.74","235.42","236.55","229.23","47.23M","-0.08%"
"03/04/2025","235.93","237.71","240.07","234.68","53.80M","-0.88%"
"03/03/2025","238.03","241.79","244.03","236.11","47.18M","-1.58%"
"02/28/2025","241.84","236.95","242.09","230.20","56.83M","1.91%"
"02/27/2025","237.30","239.41","242.46","237.06","41.15M","-1.27%"
"02/26/2025","240.36","244.33","244.98","239.13","44.43M","-2.70%"
"02/25/2025","247.04","248.00","250.00","244.91","48.01M","-0.02%"
"02/24/2025","247.10","244.93","248.86","244.42","51.33M","0.63%"
"02/21/2025","245.55","245.95","248.69","245.22","53.20M","-0.11%"
"02/20/2025","245.83","244.94","246.78","244.29","32.32M","0.39%"
"02/19/2025","244.87","244.66","246.01","243.16","32.20M","0.16%"
"02/18/2025","244.47","244.15","245.18","241.84","48.82M","-0.05%"
"02/14/2025","244.60","241.25","245.55","240.99","40.90M","1.27%"
"02/13/2025","241.53","236.91","242.34","235.57","53.61M","1.97%"
"02/12/2025","236.87","231.20","236.96","230.68","45.24M","1.83%"
"02/11/2025","232.62","228.20","235.23","228.13","53.72M","2.18%"
"02/10/2025","227.65","229.57","230.59","227.20","33.12M","0.01%"
"02/07/2025","227.63","232.60","234.00","227.26","39.71M","-2.40%"
"02/06/2025","233.22","231.29","233.80","230.43","29.93M","0.32%"
"02/05/2025","232.47","228.53","232.67","228.27","39.66M","-0.14%"
"02/04/2025","232.80","227.25","233.13","226.65","45.07M","2.10%"
"02/03/2025","228.01","229.99","231.83","225.70","73.06M","-3.39%"
"01/31/2025","236.00","247.19","247.19","233.44","101.08M","-0.67%"
"01/30/2025","237.59","238.66","240.79","237.21","55.66M","-0.74%"
"01/29/2025","239.36","234.12","239.85","234.01","45.49M","0.46%"
"01/28/2025","238.26","230.85","240.19","230.81","75.71M","3.65%"
"01/27/2025","229.86","224.02","232.15","223.98","94.86M","3.18%"
"01/24/2025","222.78","224.78","225.63","221.41","54.70M","-0.39%"
"01/23/2025","223.66","224.74","227.03","222.30","60.23M","-0.08%"
"01/22/2025","223.83","219.79","224.12","219.79","64.13M","0.53%"
"01/21/2025","222.64","224.00","224.42","219.38","98.07M","-3.19%"
"01/17/2025","229.98","232.12","232.29","228.48","68.49M","0.75%"
"01/16/2025","228.26","237.35","238.01","228.03","71.76M","-4.04%"
"01/15/2025","237.87","234.63","238.96","234.43","39.83M","1.97%"
"01/14/2025","233.28","234.75","236.12","232.47","39.44M","-0.48%"
"01/13/2025","234.40","233.53","234.67","229.72","49.63M","-1.03%"
"01/10/2025","236.85","240.01","240.16","233.00","61.71M","-2.41%"
"01/08/2025","242.70","241.92","243.71","240.05","37.63M","0.20%"
"01/07/2025","242.21","242.98","245.55","241.35","40.86M","-1.14%"
"01/06/2025","245.00","244.31","247.33","243.20","45.05M","0.67%"
"01/03/2025","243.36","243.36","244.18","241.89","40.24M","-0.20%"
"01/02/2025","243.85","248.93","249.10","241.82","55.74M","-2.62%"
